request_id,electrical_energy_J,thermal_energy_J,independent_integral_electrical_J,independent_integral_thermal_J,stored_heat_J,ambient_loss_J,thermal_balance_residual_J
water-heater-sizing-02-attempt-qualification-baseline,242389.1796582,225421.937082126,242389.17965820004,225421.93708212604,196593.42382984556,28828.511866413777,0.0013858666716259904
water-heater-sizing-02-attempt-qualification-refined,242389.2105684603,225421.9658286681,242389.21056846046,225421.9658286682,196593.42487692906,28828.50936185791,0.03158988112772931
